country,countrycode,population,total renewable freshwater resources [billion cubic meters] 2002,total renewable freshwater resources [billion cubic meters] 2014,annual freshwater withdrawl [%] 2002,annual freshwater withdrawl [%] 2014
St. Lucia,LCA,183645,0.3,0.3,,14.3
Latin America & Caribbean (all income levels),LCN,626269527,13867.696,13867.696,,2.355021232
Least developed countries: UN classification,LDC,931955068,4588.285,4615.285,,4.138098296
Low income,LIC,621977594,2945.02,2971.02,,3.078548781
Liechtenstein,LIE,37286,,,,
Sri Lanka,LKA,20771000,52.8,52.8,24.64015152,24.52651515
Lower middle income,LMC,2878467298,8812.878,8813.878,,17.90007342
Low & middle income,LMY,5861262709,27310.766,27346.173,,10.29624446
Lesotho,LSO,2109197,5.23,5.23,0.837476099,0.837476099
Lithuania,LTU,2932367,15.46,15.46,18.09831824,15.38163001
Luxembourg,LUX,556319,1,1,6.02,4.5
Latvia,LVA,1993782,16.74,16.74,2.497013142,2.497013142
"Macao SAR, China",MAC,577914,,,,
St. Martin (French part),MAF,31530,,,,
Morocco,MAR,33921203,29,29,51.10344828,35.96551724
Monaco,MCO,37623,,,,
Moldova,MDA,3556397,1.62,1.62,,65.74074074
Madagascar,MDG,23571713,337,337,4.896142433,4.896142433
Maldives,MDV,401000,0.03,0.03,,19.66666667
Middle East & North Africa (all income levels),MEA,417451788,231.2815,231.2815,,133.5589747
Mexico,MEX,125385833,409,409,17.75061125,19.63325183
Marshall Islands,MHL,52898,,,,
Middle income,MIC,5239285115,24365.746,24375.153,,11.17760569
"Macedonia, FYR",MKD,2075625,5.4,5.4,10.96296296,19.03703704
Mali,MLI,17086022,60,60,,8.643333333
Malta,MLT,427364,0.0505,0.0505,106.7326733,106.7326733
Myanmar,MMR,53437159,1003,1003,3.313060818,3.313060818
Middle East & North Africa (developing only),MNA,357312867,226.471,226.471,,122.355136
Montenegro,MNE,621810,,,,
Mongolia,MNG,2909871,34.8,34.8,,1.583333333
Northern Mariana Islands,MNP,54541,,,,
Mozambique,MOZ,27216276,100.3,100.3,0.881555334,0.881555334
Mauritania,MRT,3969625,0.4,0.4,400.25,337.5
Mauritius,MUS,1260934,2.751,2.751,22.173755,26.35405307
Malawi,MWI,16695253,16.14,16.14,8.209417596,8.407682776
Malaysia,MYS,29901997,580,580,1.604310345,1.931034483
North America,NAC,354465895,5668,5668,,9.124911785
Namibia,NAM,2402858,6.16,6.16,4.675324675,4.675324675
New Caledonia,NCL,266000,,,,
Niger,NER,19113728,3.5,3.5,,28.10285714
Nigeria,NGA,177475986,221,221,4.665158371,5.932126697
Nicaragua,NIC,6013913,156.2,156.2,0.888604353,0.989116517
Netherlands,NLD,16865008,11,11,81.12727273,97
High income: nonOECD,NOC,328773073,6237.1521,5624.1521,,2.940285048
Norway,NOR,5136886,382,382,0.628010471,0.769371728
Nepal,NPL,28174724,198.2,198.2,4.824419778,4.791624622
New Zealand,NZL,4509700,327,327,0.960244648,1.590519878
High income: OECD,OEC,1069655987,9830.43,9830.43,,9.471273383
OECD members,OED,1270974168,10466.43,10466.43,,10.04608926
Oman,OMN,4236057,1.4,1.4,97.14285714,94.35714286
Other small states,OSS,20937048,321.406,318.406,,1.346928136
Pakistan,PAK,185044286,55,55,313.8181818,333.6363636
Panama,PAN,3867535,136.6,136.6,,0.759150805
Peru,PER,30973148,1641,1641,,0.832419257
Philippines,PHL,99138690,479,479,,17.02713987
Palau,PLW,21097,,,,
Papua New Guinea,PNG,7463577,801,801,0.033882647,0.048951311
Poland,POL,38011735,53.6,53.6,21.88432836,21.41791045
Puerto Rico,PRI,3548397,7.1,7.1,12.06338028,14.01408451
"Korea, Dem. People’s Rep.",PRK,25026772,67,67,,12.92238806
Portugal,PRT,10401062,38,38,29.31578947,24.08157895
Paraguay,PRY,6552518,117,117,0.418803419,2.062393162
Pacific island small states,PSS,2313337,,,,
French Polynesia,PYF,279781,10,,,
Qatar,QAT,2172065,0.056,0.056,524.8214286,792.8571429
Romania,ROU,19904360,42.38,42.38,21.76026428,16.22463426
Russian Federation,RUS,143819569,4313,4313,1.534894505,1.534894505
Rwanda,RWA,11341544,9.5,9.5,1.578947368,1.578947368
South Asia,SAS,1721152580,1985.18,1982.18,,51.63208689
Saudi Arabia,SAU,30886545,2.4,2.4,,986.25
Sudan,SDN,39350274,,4,,673.25
Senegal,SEN,14672557,25.8,25.8,8.608527132,8.608527132
Singapore,SGP,5469724,0.6,0.6,,
Solomon Islands,SLB,572171,44.7,44.7,,
Sierra Leone,SLE,6315627,160,160,0.1180625,0.132625
El Salvador,SLV,6107706,15.63,15.63,8.803582853,13.55086372
San Marino,SMR,31595,,,,
Somalia,SOM,10517569,6,6,54.83333333,54.96666667
Serbia,SRB,7129366,,8.407,,49.01867491
Sub-Saharan Africa (developing only),SSA,973402912,3827.761,3857.761,,3.033013191
South Sudan,SSD,11911184,,26,,2.530769231
Sub-Saharan Africa (all income levels),SSF,974315197,3853.761,3883.761,,3.013156577
Small states,SST,30263242,766.232,763.232,,1.103475465
Sao Tome and Principe,STP,186342,2.18,2.18,,0.321100917
Suriname,SUR,538248,99,99,0.676767677,0.622121212
Slovak Republic,SVK,5418649,12.6,12.6,9.023809524,5.46031746
Slovenia,SVN,2061980,18.67,18.67,4.815211569,5.007498661
Sweden,SWE,9696110,171,171,1.564912281,1.573099415
Swaziland,SWZ,1269112,2.64,2.64,39.46969697,39.46969697
Sint Maarten (Dutch part),SXM,37685,,,,
Seychelles,SYC,91400,,,,
Syrian Arab Republic,SYR,22157800,7.132,7.132,229.3886708,234.9971957
Turks and Caicos Islands,TCA,33740,,,,
Chad,TCD,13587053,15,15,5.661333333,5.864
Togo,TGO,7115163,11.5,11.5,1.469565217,1.469565217
Thailand,THA,67725979,224.5,224.5,0,25.52783964
