Country,Continent,Year,GDP_per_capita,life_expectancy,Population
Afghanistan,Asia,2010,1214.613653,59.612,31411743
Albania,Europe,2010,6746.445312,76.78,3204284
Algeria,Africa,2010,6300.648214,70.615,35468208
Angola,Africa,2010,5497.618103,50.689,19081912
Antigua and Barbuda,North-America,2010,13921.51622,75.437,88710
Argentina,South-America,2010,14486.6366,75.772,40412376
Armenia,Europe,2010,4598.933383,74.291,3092072
Australia,Oceania,2010,34884.76376,82.091,22268384
Austria,Europe,2010,35816.33659,80.595,8393644
Azerbaijan,Europe,2010,9325.554448,70.518,9187783
Bahamas,North-America,2010,21022.70646,74.757,342877
Bahrain,Asia,2010,24012.80725,76.203,1261835
Bangladesh,Asia,2010,1621.048571,69.449,148692131
Barbados,North-America,2010,16223.53076,74.875,273331
Belarus,Europe,2010,12490.18818,69.613,9595421
Belgium,Europe,2010,32832.33518,80.007,10712066
Belize,North-America,2010,7271.493791,73.24,311627
Benin,Africa,2010,1438.986214,58.797,8849892
Bhutan,Asia,2010,5273.68657,67.015,725940
Bolivia,South-America,2010,4095.214842,66.362,9929849
Bosnia and Herzegovina,Europe,2010,7596.007881,75.898,3760149
Botswana,Africa,2010,13181.34202,46.588,2006945
Brazil,South-America,2010,10195.44815,73.121,194946470
Brunei,Asia,2010,45460.87113,77.956,398920
Bulgaria,Europe,2010,10990.43751,73.243,7494332
Burkina Faso,Africa,2010,1277.686645,55.081,16468714
Burundi,Africa,2010,468.4321824,52.638,8382849
Cambodia,Asia,2010,1858.477823,70.811,14138255
Cameroon,Africa,2010,2017.815915,53.718,19598889
Canada,North-America,2010,35219.34297,80.986,34016593
Cape Verde,Africa,2010,3655.839336,74.094,495999
Central African Rep.,Africa,2010,701.6569599,48.139,4401051
Chad,Africa,2010,1759.973441,49.794,11227208
Chile,South-America,2010,14038.37229,79.168,17113688
China,Asia,2010,7405.726251,74.868,1341335152
Colombia,South-America,2010,7417.802828,73.424,46294841
Comoros,Africa,2010,1022.62455,60.223,734750
"Congo, Dem. Rep.",Africa,2010,373.6323918,49.01,65965795
"Congo, Rep.",Africa,2010,4049.163661,57.229,4042899
Costa Rica,North-America,2010,10122.52882,79.28,4658887
Cote d'Ivoire,Africa,2010,1512.080876,49.642,19737800
Croatia,Europe,2010,13615.80718,76.54,4403330
Cuba,North-America,2010,9626.113792,78.736,11257979
Cyprus,Europe,2010,24436.9442,79.348,1103647
Czech Rep.,Europe,2010,22526.65908,77.267,10492960
Denmark,Europe,2010,32828.74123,78.969,5550142
Djibouti,Africa,2010,2165.763841,60.307,888716
Dominican Rep.,North-America,2010,6663.746169,72.734,9927320
Ecuador,South-America,2010,7182.70775,75.647,14464739
Egypt,Africa,2010,6059.975994,70.478,81121077
El Salvador,North-America,2010,5677.271041,71.88,6192993
Equatorial Guinea,Africa,2010,13383.7634,51.483,700401
Eritrea,Africa,2010,561.0500065,61.275,5253676
Estonia,Europe,2010,16865.75955,74.094,1341140
Ethiopia,Africa,2010,871.8371156,61.486,82949541
Fiji,Oceania,2010,4074.620261,69.258,860623
Finland,Europe,2010,31053.39703,79.987,5364546
France,Europe,2010,29691.24163,81.35,62787427
Gabon,Africa,2010,12542.54603,62.333,1505463
Gambia,Africa,2010,793.6184343,58.109,1728394
Georgia,Europe,2010,4388.666828,73.883,4352244
Germany,Europe,2010,32886.85849,80.23972189,82302465
Ghana,Africa,2010,1485.657586,60.626,24391823
Greece,Europe,2010,24947.10641,80.23,11359346
Greenland,North-America,2010,38874.09331,70.775,57296
Grenada,North-America,2010,8585.78313,72.375,104487
Guatemala,North-America,2010,5181.687337,71.1,14388929
Guinea,Africa,2010,939.3718791,55.317,9981590
Guinea-Bissau,Africa,2010,595.5368598,53.578,1515224
Guyana,South-America,2010,3937.588619,65.775,754493
Haiti,North-America,2010,1148.748227,45,9993247
Honduras,North-America,2010,3516.584288,72.854,7600524
"Hong Kong, China",Asia,2010,41939.22256,82.84,7053189
Hungary,Europe,2010,16982.81705,74.227,9983645
Iceland,Europe,2010,33316.46521,81.707,320136
India,Asia,2010,2961.17336,65.65,1224614327
Indonesia,Asia,2010,3982.910268,70.185,239870937
Iran,Asia,2010,12483.19957,73.094,73973630
Iraq,Asia,2010,3760.811656,68.753,31671591
Ireland,Europe,2010,35257.17453,80.151,4469900
Israel,Asia,2010,26459.26565,81.295,7418400
Italy,Europe,2010,26549.34432,81.923,60550848
Jamaica,North-America,2010,6892.469439,72.897,2741052
Japan,Asia,2010,30731.99257,83.092,126535920
Jordan,Asia,2010,5201.959287,73.39,6187227
Kazakhstan,Asia,2010,11040.26145,66.108,16026367
Kenya,Africa,2010,1471.325641,59.58,40512682
Kiribati,Oceania,2010,3031.819106,67.945,99546
